Meshno,Category,Accuracy,Presicion,NPV,Sensitivity,Specificity,Accuracy,Presicion,NPV,Sensitivity,Specificity,Accuracy,Presicion,NPV,Sensitivity,Specificity
74,Airplane,0.946667,0.5,0.958904,0.25,0.985915,0.930667,0.2,0.950685,0.1,0.977465,0.946667,0.5,0.958904,0.25,0.985915
75,Airplane,0.957333,0.7,0.964384,0.35,0.991549,0.930667,0.2,0.950685,0.1,0.977465,0.952,0.6,0.961644,0.3,0.988732
76,Airplane,0.930667,0.2,0.950685,0.1,0.977465,0.930667,0.2,0.950685,0.1,0.977465,0.936,0.3,0.953425,0.15,0.980282
77,Airplane,0.952,0.6,0.961644,0.3,0.988732,0.925333,0.1,0.947945,0.05,0.974648,0.952,0.6,0.961644,0.3,0.988732
78,Airplane,0.962667,0.8,0.967123,0.4,0.994366,0.930667,0.2,0.950685,0.1,0.977465,0.962667,0.8,0.967123,0.4,0.994366
79,Airplane,0.925333,0.1,0.947945,0.05,0.974648,0.925333,0.1,0.947945,0.05,0.974648,0.925333,0.1,0.947945,0.05,0.974648
80,Airplane,0.930667,0.2,0.950685,0.1,0.977465,0.925333,0.1,0.947945,0.05,0.974648,0.930667,0.2,0.950685,0.1,0.977465
81,Ant,0.936,0.3,0.953425,0.15,0.980282,0.925333,0.1,0.947945,0.05,0.974648,0.941333,0.4,0.956164,0.2,0.983099
82,Ant,0.957333,0.7,0.964384,0.35,0.991549,0.925333,0.1,0.947945,0.05,0.974648,0.946667,0.5,0.958904,0.25,0.985915
83,Ant,0.941333,0.4,0.956164,0.2,0.983099,0.930667,0.2,0.950685,0.1,0.977465,0.941333,0.4,0.956164,0.2,0.983099
84,Ant,0.946667,0.5,0.958904,0.25,0.985915,0.925333,0.1,0.947945,0.05,0.974648,0.946667,0.5,0.958904,0.25,0.985915
85,Ant,0.936,0.3,0.953425,0.15,0.980282,0.925333,0.1,0.947945,0.05,0.974648,0.941333,0.4,0.956164,0.2,0.983099
86,Ant,0.952,0.6,0.961644,0.3,0.988732,0.930667,0.2,0.950685,0.1,0.977465,0.946667,0.5,0.958904,0.25,0.985915
87,Ant,0.957333,0.7,0.964384,0.35,0.991549,0.925333,0.1,0.947945,0.05,0.974648,0.952,0.6,0.961644,0.3,0.988732
88,Ant,0.957333,0.7,0.964384,0.35,0.991549,0.925333,0.1,0.947945,0.05,0.974648,0.952,0.6,0.961644,0.3,0.988732
